dataset,model,seed,split,split_name,rmse,mae,r2,train_r2,valid_r2,train_time_sec,n_estimators,epochs,lr,batch_size,best_epoch,freeze_epochs,weight_decay,hidden,arch,picp,mpiw,alpha,n_ensemble,uq_method
ppb,Multimodal_ChemBERTa_GCN_e20,42,scaffold,test,0.8961332713214617,0.5784270351301349,0.1481076183659119,0.8657022786639517,0.4505057748401173,1372.689,,20.0,1e-05,16.0,13.0,2.0,,128.0,gcn,,,,,
ppb,Multimodal_ChemBERTa_GCN_e20,43,scaffold,test,0.8122838292311783,0.5347160412398179,0.3000691344219384,0.665341297365625,0.4414874242424612,1263.957,,20.0,1e-05,16.0,5.0,2.0,,128.0,gcn,,,,,
ppb,Multimodal_ChemBERTa_GCN_e20,44,scaffold,test,0.8442084826308759,0.5488251695670993,0.2439701310340842,0.8655582872261247,0.4525893273343908,1259.755,,20.0,1e-05,16.0,15.0,2.0,,128.0,gcn,,,,,
ppb,Multimodal_ChemBERTa_GAT_e20,42,scaffold,test,0.8719381518222328,0.5479944498712243,0.1934878916329493,0.7591404371786975,0.4409546745761565,1696.764,,20.0,1e-05,16.0,7.0,2.0,,128.0,gat,,,,,
ppb,Multimodal_ChemBERTa_GAT_e20,43,scaffold,test,0.8866677786721335,0.6055651714918951,0.1660089622021824,0.8393355315769536,0.4457850387874591,1741.025,,20.0,1e-05,16.0,10.0,2.0,,128.0,gat,,,,,
ppb,Multimodal_ChemBERTa_GAT_e20,44,scaffold,test,0.8832938776648027,0.6042358812597224,0.1723438032848154,0.6162399512299765,0.4319009350008861,1760.424,,20.0,1e-05,16.0,5.0,2.0,,128.0,gat,,,,,
ppb,TripleGNN_GCN_GIN_GAT_h128_e100,42,scaffold,test,0.89518296861699,0.6311382181126118,0.1499134354564433,0.5230490761882903,0.3715530393865289,2673.755,,100.0,0.001,16.0,12.0,,,128.0,gcn+gin+gat,,,,,
ppb,TripleGNN_GCN_GIN_GAT_h128_e100,43,scaffold,test,0.8881579879313481,0.541219678333742,0.1632032539267472,0.6134364157691838,0.3939045730002215,4164.549,,100.0,0.001,16.0,29.0,,,128.0,gcn+gin+gat,,,,,
ppb,TripleGNN_GCN_GIN_GAT_h128_e100,44,scaffold,test,0.8131450810357927,0.5536600427089811,0.2985840961189775,0.5503854155623414,0.3980072848351148,3096.816,,100.0,0.001,16.0,17.0,,,128.0,gcn+gin+gat,,,,,
ppb,Multimodal_ChemBERTa_GCN_GIN_GAT_e20,42,scaffold,test,0.8425072519015797,0.5308815634875547,0.2470141310161538,0.8855086404110708,0.4467963702452397,2938.822,,20.0,1e-05,16.0,15.0,2.0,,128.0,gcn+gin+gat,,,,,
