Epoch,LR_1e-05_Train_Loss,LR_1e-05_Test_R2,LR_3e-05_Train_Loss,LR_3e-05_Test_R2,LR_5e-05_Train_Loss,LR_5e-05_Test_R2
1,0.9865026292593583,0.07476580142974854,0.9892400347668192,0.06471830606460571,0.9634558927753697,0.07973968982696533
2,0.9575421337200247,0.07379508018493652,0.901458071625751,0.11993408203125,0.891529007450394,0.1426103711128235
3,0.9018669134896734,0.1873459815979004,0.8812545447245889,0.24461352825164795,0.8596969972486082,0.2628366947174072
4,0.7599144519671149,0.23430699110031128,0.6707471861787464,0.16442883014678955,0.6407281918370206,0.21725231409072876
5,0.6828063771776531,0.23928165435791016,0.4946579133038935,0.0998387336730957,0.4513317353051642,0.16528838872909546
6,0.5817948307680048,0.23703473806381226,0.3653976970716663,0.2517056465148926,0.2972894856787246,0.11407333612442017
7,0.5306762615623681,0.24214476346969604,0.27448657527565956,0.15615516901016235,0.257875662944887,0.21177494525909424
8,0.4811517113576765,0.26126229763031006,0.24225497375363889,0.16018575429916382,0.2021809071302414,-0.03830993175506592
9,0.3519893495932869,0.25380998849868774,0.21256240295327228,0.19070619344711304,0.20590837251233018,0.2441975474357605
10,0.3350686437409857,0.1970997452735901,0.19010630395749342,0.17637431621551514,0.1476342258569987,0.13309884071350098
11,0.29722172216228815,0.21382856369018555,0.165125981297182,0.17626488208770752,0.1482865481596926,0.25815463066101074
12,0.25139860322941904,0.22495800256729126,0.14522898440127788,0.20696723461151123,0.12833964533132056,0.23831486701965332
13,0.22447550361571106,0.21233665943145752,0.13499130462498768,0.1537036895751953,0.11219371952440428,0.22080481052398682
14,0.21721531742292902,0.2185313105583191,0.14225477368935294,0.17856723070144653,0.1062863335499297,0.2681962251663208
15,0.20378674842093303,0.14886415004730225,0.12415015268261018,0.22522211074829102,0.10394465874718584,0.24242430925369263
16,0.1762330731296021,0.16786539554595947,0.12024409882724285,0.2213391661643982,0.08589737639640985,0.25210028886795044
17,0.17691266876847847,0.19984722137451172,0.10088243124925572,0.19621562957763672,0.09701198562169852,0.2487611174583435
18,0.16905658724515335,0.22768491506576538,0.09519429496772912,0.2075033187866211,0.08257956940518774,0.19029557704925537
19,0.16167328992615576,0.23902297019958496,0.0911525594799415,0.18553972244262695,0.08525512416077696,0.19209665060043335
20,0.15174923691412676,0.26272380352020264,0.09880941685127176,0.18587994575500488,0.08809043110712715,0.2362411618232727
