dataset,model,seed,split,split_name,rmse,mae,r2,train_r2,valid_r2,train_time_sec,n_estimators,epochs,lr,batch_size,best_epoch,freeze_epochs,weight_decay,hidden,arch,picp,mpiw,alpha,n_ensemble,uq_method
hopv,XGBoost_ECFP,44,scaffold,test,0.7729339821510925,0.5426484648277115,0.3440386012918371,0.9762927268475596,0.3796382870308742,2.053,300.0,,,,,,,,,,,,,
clearance,XGBoost_ECFP,42,scaffold,test,0.9445343214905816,0.7639285675051847,0.1389222945102562,0.9521659555717904,0.1653766252728441,0.316,300.0,,,,,,,,,,,,,
clearance,XGBoost_ECFP,43,scaffold,test,0.9320763672760428,0.7464057785829121,0.1614869015116703,0.95405992727427,0.179355662402218,0.309,300.0,,,,,,,,,,,,,
clearance,XGBoost_ECFP,44,scaffold,test,0.9140354475639044,0.7415167437274237,0.1936326493338538,0.9508992226900544,0.1913716773163077,0.308,300.0,,,,,,,,,,,,,
ppb,PyG_GIN_h128_e100,42,scaffold,test,0.9523028405217048,0.6942574730312544,0.0379676194137689,0.4727214248922994,0.3014503909305006,222.512,,100.0,0.001,32.0,16.0,,,128.0,gin,,,,,
ppb,PyG_GIN_h128_e100,43,scaffold,test,0.9674516693197904,0.7060801926870934,0.0071169718436719,0.5142388584417152,0.2925014939356019,218.807,,100.0,0.001,32.0,24.0,,,128.0,gin,,,,,
ppb,PyG_GIN_h128_e100,44,scaffold,test,0.9207267042998686,0.6463818656680186,0.1007074216466135,0.5446907840248706,0.2974852534418211,233.995,,100.0,0.001,32.0,28.0,,,128.0,gin,,,,,
hopv,PyG_GIN_h128_e100,42,scaffold,test,0.5052341266752911,0.4204039006735528,0.1726411405492851,0.3760817944623759,0.2608028752389997,441.179,,100.0,0.001,32.0,22.0,,,128.0,gin,,,,,
hopv,PyG_GIN_h128_e100,43,scaffold,test,0.4719235386467419,0.3875766634199512,0.2544965276909636,0.4738617952745088,0.2445091366982394,445.172,,100.0,0.001,32.0,23.0,,,128.0,gin,,,,,
hopv,PyG_GIN_h128_e100,44,scaffold,test,0.5185637011462723,0.4014393929510024,-0.088767656475871,0.585167895338695,0.2870266028533933,745.729,,100.0,0.001,32.0,41.0,,,128.0,gin,,,,,
clearance,PyG_GIN_h128_e100,42,scaffold,test,0.9058642628302092,0.7293167476309463,0.207985516018634,0.5033686696568949,0.2546465276461025,410.866,,100.0,0.001,32.0,11.0,,,128.0,gin,,,,,
clearance,PyG_GIN_h128_e100,43,scaffold,test,0.9179386875810868,0.7455260633502067,0.1867309993400171,0.3293566047277735,0.2640049037195094,357.665,,100.0,0.001,32.0,4.0,,,128.0,gin,,,,,
clearance,PyG_GIN_h128_e100,44,scaffold,test,0.8931610212622294,0.716928504069247,0.2300431382428708,0.3387660430580826,0.2376628271190887,330.677,,100.0,0.001,32.0,6.0,,,128.0,gin,,,,,
ppb,PyG_GCN_h128_e100,42,scaffold,test,0.8771774222932639,0.6156781762996458,0.1837664906682156,0.5262818399249536,0.3228218412078487,289.169,,100.0,0.001,32.0,31.0,,,128.0,gcn,,,,,
ppb,PyG_GCN_h128_e100,43,scaffold,test,0.9065174830168272,0.5882675544585871,0.1282501143827842,0.4173883163419453,0.3248340781013098,155.888,,100.0,0.001,32.0,9.0,,,128.0,gcn,,,,,
ppb,PyG_GCN_h128_e100,44,scaffold,test,0.9102203903223336,0.6259170606557027,0.121113789042387,0.4990300411850816,0.3044642086453262,243.942,,100.0,0.001,32.0,30.0,,,128.0,gcn,,,,,
hopv,PyG_GCN_h128_e100,42,scaffold,test,0.4529833823835053,0.3644280222544526,0.3447161940095223,0.5124307705850666,0.3343090465705189,923.489,,100.0,0.001,32.0,65.0,,,128.0,gcn,,,,,
hopv,PyG_GCN_h128_e100,43,scaffold,test,0.4596989832428065,0.3740718599779727,0.3373244578739853,0.4822476409730201,0.3291922427481679,884.249,,100.0,0.001,32.0,48.0,,,128.0,gcn,,,,,
hopv,PyG_GCN_h128_e100,44,scaffold,test,0.4774267923009433,0.3802716345216369,0.3050465959502136,0.5367351241571388,0.3109593565797352,1571.094,,100.0,0.001,32.0,89.0,,,128.0,gcn,,,,,
clearance,PyG_GCN_h128_e100,42,scaffold,test,0.8924247864162138,0.7031796190920951,0.2313119697800161,0.4664953570427194,0.298920166022687,1066.951,,100.0,0.001,32.0,18.0,,,128.0,gcn,,,,,
clearance,PyG_GCN_h128_e100,43,scaffold,test,0.9082979345263114,0.7280940874867762,0.2037241879099095,0.4733457372011339,0.3070953619153133,837.194,,100.0,0.001,32.0,15.0,,,128.0,gcn,,,,,
ppb,RF_conformal,42,scaffold,test,1.004199542036167,0.69518147328691,-0.0697432746983868,0.8857136083141472,0.1615564068292508,3.387,,,,,,,,,,0.9197530864197532,3.4891369570501505,0.1,,
ppb,RF_conformal,43,scaffold,test,1.0152766771367665,0.6997449188230566,-0.0934737109836252,0.8824978918919717,0.1739400031556952,3.244,,,,,,,,,,0.9197530864197532,3.4005256561424533,0.1,,
ppb,RF_conformal,44,scaffold,test,1.0198496022154018,0.6971338755550243,-0.1033461617200623,0.8856530857364462,0.1703053160671092,3.37,,,,,,,,,,0.9197530864197532,3.51072273153767,0.1,,
clearance,RF_conformal,42,scaffold,test,0.9282147788370648,0.7365769565354722,0.1684204213517295,0.9083414413402416,0.2284408135431348,1.131,,,,,,,,,,0.8571428571428571,2.942522403776043,0.1,,
clearance,RF_conformal,43,scaffold,test,0.9443886493547764,0.7477141515035024,0.1391878758722082,0.9055367383588764,0.2298779562028954,1.192,,,,,,,,,,0.8690476190476191,2.878412775902259,0.1,,
clearance,RF_conformal,44,scaffold,test,0.9517257602483676,0.7549961312352232,0.1257603351026157,0.9055748050739676,0.237230153457545,1.167,,,,,,,,,,0.8333333333333334,2.8653313269388585,0.1,,
hopv,RF_conformal,42,scaffold,test,0.6892221817878467,0.3981461336833509,0.3755532421041593,0.918147242983952,0.413497493224884,0.325,,,,,,,,,,0.9428571428571428,3.120551596024136,0.1,,
hopv,RF_conformal,43,scaffold,test,0.6730648514644139,0.3855683378821509,0.4044876866307511,0.920267466962187,0.4239131681222075,0.324,,,,,,,,,,0.9428571428571428,2.985158513831425,0.1,,
hopv,RF_conformal,44,scaffold,test,0.6684506618575896,0.3837258070760264,0.412624756750665,0.9191064736586596,0.4307329014152735,0.322,,,,,,,,,,0.9428571428571428,2.896959788355949,0.1,,
clearance,PyG_GCN_h128_e100,44,scaffold,test,0.8939213754002091,0.687224312524666,0.2287316410627058,0.561898583444596,0.3000433334607416,211.869,,100.0,0.001,32.0,40.0,,,128.0,gcn,,,,,
