dataset,model,n,r2_mean,r2_std,rmse_mean,rmse_std,train_r2_mean,valid_r2_mean
ppb,ChemBERTa_zinc_base_v1_lr1e-05_e20,3,0.1332442930708835,0.0489981026097867,0.9036744262006484,0.0256497815775389,0.8800459287085589,0.3419116357604672
ppb,Multimodal_ChemBERTa_GIN_e20,3,0.2048111679493627,0.0024458642834543,0.8657949107796306,0.0013309386261356,0.8002013362879831,0.4659761329684975
ppb,PyG_GAT_h128_e100,3,0.1447950775706036,0.0434741589609067,0.8976808077591741,0.0228028226661518,0.4363233536664667,0.2864127665786291
ppb,PyG_GCN_h128_e100,3,0.1443767980311289,0.0342985815942018,0.8979717652108082,0.0181033533815592,0.4809000658173268,0.3173733759848282
ppb,PyG_GIN_h128_e100,3,0.0485973376346847,0.0476920984616035,0.9468270713804546,0.0238389098910674,0.510550355786295,0.2971457127693078
ppb,RandomForest_ECFP,3,-0.0888543824673581,0.0172711363553117,1.013108607129445,0.0080471418261954,0.8846215286475217,0.168600575350685
ppb,XGBoost_ECFP,3,-0.0431968668494862,0.0225569310133916,0.9916227896492358,0.0107062344350492,0.917024278320512,0.2554626801830477
