dataset,model,seed,epoch,loss,train_r2,valid_r2
ppb,PyG_GAT_h128_e100,44,1,0.9032342744830214,0.09704521264107391,0.02826121184807151
ppb,PyG_GAT_h128_e100,44,2,0.8627541664941811,0.18479249548256826,0.07231971324726805
ppb,PyG_GAT_h128_e100,44,3,0.8298416632561036,0.17983809177751242,0.04188746601670734
ppb,PyG_GAT_h128_e100,44,4,0.8097201228877644,0.2364060490502362,0.15237436579277241
ppb,PyG_GAT_h128_e100,44,5,0.8039199938008814,0.22517834436331097,0.15434451298087337
ppb,PyG_GAT_h128_e100,44,6,0.7642790853609274,0.18050784357026517,0.041877221913704576
ppb,PyG_GAT_h128_e100,44,7,0.766126862646621,0.2886329762994412,0.15184755198504163
ppb,PyG_GAT_h128_e100,44,8,0.7812901595492422,0.3108504246496978,0.17565823686895654
ppb,PyG_GAT_h128_e100,44,9,0.7401819026764528,0.31189393809819455,0.1857879246229095
ppb,PyG_GAT_h128_e100,44,10,0.7356997678677241,0.29785358664146155,0.15993261101930722
ppb,PyG_GAT_h128_e100,44,11,0.740690506166882,0.2814180961606334,0.1550098772859012
ppb,PyG_GAT_h128_e100,44,12,0.7512283937798606,0.3034715466235475,0.15692796378860396
ppb,PyG_GAT_h128_e100,44,13,0.6978028758808419,0.25195820147006387,0.07354833673219474
ppb,PyG_GAT_h128_e100,44,14,0.7268109674806948,0.3172843959914855,0.1763492686536987
ppb,PyG_GAT_h128_e100,44,15,0.7149638929116873,0.3647009622029549,0.25044283747053897
ppb,PyG_GAT_h128_e100,44,16,0.7024145308468077,0.1385471960804333,0.03528667204558111
ppb,PyG_GAT_h128_e100,44,17,0.698550272135087,0.4165678828034045,0.2811462207476273
ppb,PyG_GAT_h128_e100,44,18,0.6924639136334996,0.36307098815941874,0.24750777195931895
ppb,PyG_GAT_h128_e100,44,19,0.7011696309955032,0.3543994862226322,0.22333383537523577
ppb,PyG_GAT_h128_e100,44,20,0.707669188486941,0.3831697240544836,0.2566689725540817
ppb,PyG_GAT_h128_e100,44,21,0.6910466570177196,0.28663186991474576,0.13269101689932017
ppb,PyG_GAT_h128_e100,44,22,0.7135331283013026,0.3721761702370472,0.23226594897013697
ppb,PyG_GAT_h128_e100,44,23,0.681676905280278,0.3742379848955266,0.22801617511348504
ppb,PyG_GAT_h128_e100,44,24,0.6758927296341202,0.3343151613026374,0.16875827614896932
ppb,PyG_GAT_h128_e100,44,25,0.6750727231487815,0.313443809629366,0.11805274794669662
ppb,PyG_GAT_h128_e100,44,26,0.6529544899125158,0.4068497516671117,0.230797130006272
ppb,PyG_GAT_h128_e100,44,27,0.6688066460652116,0.3098338439595073,0.13410703062131513
ppb,PyG_GAT_h128_e100,44,28,0.6598902983062062,0.19268010090147614,0.04037414125334804
ppb,PyG_GAT_h128_e100,44,29,0.6826560169826319,0.3100480681037052,0.15711436667180034
ppb,PyG_GAT_h128_e100,44,30,0.6767069158362754,0.3276882175066115,0.17837038207105782
ppb,PyG_GAT_h128_e100,44,31,0.658875635560648,0.3451048668507074,0.16721092348858257
ppb,PyG_GAT_h128_e100,44,32,0.6756746237292702,0.29748848421924357,0.1165976959174918
ppb,PyG_GAT_h128_e100,44,33,0.668890557171386,0.3927302168028929,0.22204417380978925
ppb,PyG_GAT_h128_e100,44,34,0.6586381596179656,0.3255477720012723,0.1659264889235701
ppb,PyG_GAT_h128_e100,44,35,0.6643142246721704,0.39162634413432995,0.2325285642463012
ppb,PyG_GAT_h128_e100,44,36,0.645961457380542,0.3916033248404899,0.20526159508534358
ppb,PyG_GAT_h128_e100,44,37,0.6519448637594412,0.40014956780887423,0.21500371841973298
ppb,PyG_GAT_h128_e100,44,38,0.6445800800014425,0.4482493790494676,0.2562101193981158
ppb,PyG_GAT_h128_e100,44,39,0.6468350232383351,0.315552957875348,0.11222854976772245
ppb,PyG_GAT_h128_e100,44,40,0.6358988752335678,0.42277024926648654,0.28299065340289464
ppb,PyG_GAT_h128_e100,44,41,0.6775672895672881,0.41881817686593237,0.2627098749246546
ppb,PyG_GAT_h128_e100,44,42,0.635370530647996,0.4291645421463548,0.2597696083009208
ppb,PyG_GAT_h128_e100,44,43,0.6317696924562808,0.3624642679234137,0.21216953957289852
ppb,PyG_GAT_h128_e100,44,44,0.6408481507757564,0.4206959236387632,0.2770769160581633
ppb,PyG_GAT_h128_e100,44,45,0.6315347701311111,0.42106281265592027,0.21092411837761005
ppb,PyG_GAT_h128_e100,44,46,0.5988101245444498,0.43232858367721627,0.22554351373951698
ppb,PyG_GAT_h128_e100,44,47,0.6326298962036768,0.4655756769005609,0.24480702129010445
ppb,PyG_GAT_h128_e100,44,48,0.6431049798373822,0.3533611909149962,0.15835545058329592
ppb,PyG_GAT_h128_e100,44,49,0.6407767062385877,0.42507142942231224,0.2178521002978272
ppb,PyG_GAT_h128_e100,44,50,0.6245294796463884,0.45418187942055865,0.26538960271666756
ppb,PyG_GAT_h128_e100,44,51,0.6182494579273977,0.350957928022786,0.14145409599123693
ppb,PyG_GAT_h128_e100,44,52,0.6064442248991978,0.4114844575282549,0.21918970648174008
ppb,PyG_GAT_h128_e100,44,53,0.62268121191013,0.40286760409614353,0.21239021318189855
ppb,PyG_GAT_h128_e100,44,54,0.6184933483600616,0.42599402144658327,0.19847130909652688
ppb,PyG_GAT_h128_e100,44,55,0.6179399188653922,0.4390176878865033,0.22678414803051705
ppb,PyG_GAT_h128_e100,44,56,0.6210672678770842,0.4034013307993072,0.19431144595153615
ppb,PyG_GAT_h128_e100,44,57,0.6159586177931892,0.33331358948251033,0.10752121044586027
ppb,PyG_GAT_h128_e100,44,58,0.6048201294040975,0.4952565410901473,0.2509649271082388
ppb,PyG_GAT_h128_e100,44,59,0.5928359430881194,0.46751029779685127,0.23140761122808795
ppb,PyG_GAT_h128_e100,44,60,0.6181979290681121,0.44779864479193565,0.22004990398751823
ppb,PyG_GAT_h128_e100,44,61,0.6226265161861608,0.44774553212759605,0.21497579055664973
ppb,PyG_GAT_h128_e100,44,62,0.6341609601621274,0.382949258009632,0.14480196861924743
ppb,PyG_GAT_h128_e100,44,63,0.6170795580119263,0.4258915068789827,0.20779965804506395
ppb,PyG_GAT_h128_e100,44,64,0.5941068982636487,0.388488857636614,0.1897050968957732
ppb,PyG_GAT_h128_e100,44,65,0.6212644426175106,0.510912390410988,0.2758010080776414
ppb,PyG_GAT_h128_e100,43,1,0.9421292841434479,0.04050755750748236,-0.047574771746208055
ppb,PyG_GAT_h128_e100,43,2,0.9007476310671112,0.13162458791573495,0.04461182574827327
ppb,PyG_GAT_h128_e100,43,3,0.844684350637742,0.21734534112058645,0.12485351188349847
ppb,PyG_GAT_h128_e100,43,4,0.8279734537189389,0.2050334496320243,0.10978018693309965
ppb,PyG_GAT_h128_e100,43,5,0.8187783511332524,0.11400875536280364,0.03465340398163208
ppb,PyG_GAT_h128_e100,43,6,0.819253530215334,0.2826086430564613,0.22495279025911818
ppb,PyG_GAT_h128_e100,43,7,0.7589979666618654,0.24423669647819424,0.14749661673738157
ppb,PyG_GAT_h128_e100,43,8,0.768844048826047,0.23002734366452326,0.13378592617893414
ppb,PyG_GAT_h128_e100,43,9,0.7835665970672796,0.29808436453059695,0.19858731775352056
ppb,PyG_GAT_h128_e100,43,10,0.7556413848091055,0.3057610015358959,0.21853888700966484
ppb,PyG_GAT_h128_e100,43,11,0.7282356882904782,0.2978229339011522,0.19336012832192695
ppb,PyG_GAT_h128_e100,43,12,0.7225107911192341,0.285656238874905,0.18011048104142846
ppb,PyG_GAT_h128_e100,43,13,0.7331106191799964,0.3704324665443315,0.27210527304806464
ppb,PyG_GAT_h128_e100,43,14,0.7317701123746825,0.19102502093849427,0.01167542232969554
ppb,PyG_GAT_h128_e100,43,15,0.7154397826503824,0.3335739328686862,0.23940473862895495
ppb,PyG_GAT_h128_e100,43,16,0.7105416944365442,0.35318086729847753,0.19335570190075346
ppb,PyG_GAT_h128_e100,43,17,0.7017118557367796,0.3650813449541924,0.16987832756368004
ppb,PyG_GAT_h128_e100,43,18,0.7220867493270356,0.23893724595995547,0.098288827241103
ppb,PyG_GAT_h128_e100,43,19,0.6980107949103838,0.35750807898151493,0.2246814375961219
ppb,PyG_GAT_h128_e100,43,20,0.7116592072042418,0.37558104251835966,0.24062786408487868
ppb,PyG_GAT_h128_e100,43,21,0.7032563171268981,0.3489516782878457,0.1919321136576735
ppb,PyG_GAT_h128_e100,43,22,0.6993109168093882,0.25576456927518587,0.1466903399016226
ppb,PyG_GAT_h128_e100,43,23,0.6774963537851969,0.41386405049393715,0.26934540861357525
ppb,PyG_GAT_h128_e100,43,24,0.6820988883206873,0.4027173180260809,0.24335128284734053
ppb,PyG_GAT_h128_e100,43,25,0.6758831671358626,0.3185556990777133,0.18355015688709753
ppb,PyG_GAT_h128_e100,43,26,0.6662198321686851,0.13981622295965823,-0.061170136449458345
ppb,PyG_GAT_h128_e100,43,27,0.6917003906435437,0.3689379373424202,0.1855829472941617
ppb,PyG_GAT_h128_e100,43,28,0.657047528727555,0.42492132659588755,0.26003507078811194
ppb,PyG_GAT_h128_e100,43,29,0.6908349083897508,0.34188802294849385,0.1903344372875999
ppb,PyG_GAT_h128_e100,43,30,0.6478421089273912,0.310887358014294,0.13099060750540503
